,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,0.125,0.14361587711669468,-0.018615877116694685,0.014027860626928878
sample_2,0.122,0.11304775239356199,0.008952247606438007,0.016265118825277678
sample_3,0.624,0.6217532493904876,0.0022467506095124046,0.015293242119598932
sample_4,0.042,0.04624040403161464,-0.004240404031614638,0.015658605357710544
sample_5,0.589,0.6006462824737596,-0.01164628247375965,0.015426720668549356
sample_6,0.051,0.05664350481626898,-0.0056435048162689835,0.013745638398571298
sample_7,0.771,0.7774383343291231,-0.006438334329123108,0.015457848739209336
sample_8,0.775,0.7604808386723989,0.014519161327601116,0.0153887425990335
sample_9,0.219,0.2188468115659472,0.00015318843405279226,0.014835094568106017
sample_10,0.12,0.10411150182357651,0.015888498176423488,0.014377453696812785
sample_11,0.066,0.05767655229624738,0.008323447703752623,0.014970372363181139
sample_12,0.037,0.05019295251509526,-0.013192952515095259,0.013966945581998388
sample_13,0.1,0.09391626403723,0.006083735962770009,0.01425882168277233
sample_14,0.161,0.15399221874033944,0.0070077812596605615,0.017307058940046614
sample_15,0.773,0.77369882338853,-0.000698823388530001,0.01569526584614249
sample_16,0.087,0.1027422935626677,-0.01574229356266771,0.014538623457709234
sample_17,0.511,0.5117689198026024,-0.000768919802602408,0.016879065171422104
sample_18,0.079,0.07717335825491417,0.0018266417450858302,0.016826908920116228
sample_19,0.043,0.03528508375069789,0.007714916249302109,0.014481126088896587
sample_20,0.49,0.48520356435161105,0.004796435648388941,0.016297483668350366
