,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,0.125,0.125046709389832,-4.67093898320059e-05,0.0012605518049330806
sample_2,0.122,0.12201446872537566,-1.4468725375665903e-05,0.0012611306873050343
sample_3,0.624,0.6240070655552236,-7.065555223562114e-06,0.0012610244165774116
sample_4,0.042,0.042001990706309666,-1.990706309663859e-06,0.0012611513318882973
sample_5,0.589,0.5890107350739044,-1.0735073904477588e-05,0.0012612401180713355
sample_6,0.051,0.0509991445274556,8.554725443934985e-07,0.0012606838931281021
sample_7,0.771,0.7709989523714431,1.0476285569049892e-06,0.0012611949084177132
sample_8,0.775,0.7749652135221449,3.478647785515321e-05,0.0012611619806043102
sample_9,0.219,0.21900945120354726,-9.451203547256037e-06,0.0012611170178789377
sample_10,0.12,0.11995335034732288,4.6649652677116515e-05,0.0012605006982205507
sample_11,0.066,0.06599915194483072,8.480551692835459e-07,0.001261166595263676
sample_12,0.037,0.037021176976622994,-2.1176976622995503e-05,0.0012603162151786282
sample_13,0.1,0.09996589652580895,3.410347419105508e-05,0.0012608997093685155
sample_14,0.161,0.16098877186642255,1.1228133577456667e-05,0.0012612786788172515
sample_15,0.773,0.7729891446909223,1.0855309077739683e-05,0.0012612270919066134
sample_16,0.087,0.08704178042912417,-4.17804291241719e-05,0.0012610375098106228
sample_17,0.511,0.5110048020491245,-4.802049124452701e-06,0.0012611889830088047
sample_18,0.079,0.07897650239080256,2.3497609197439817e-05,0.0012611111050590638
sample_19,0.043,0.04299254698269117,7.453017308825527e-06,0.0012611601033649276
sample_20,0.49,0.490010873256116,-1.0873256115984109e-05,0.0012610625684465156
