,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0,-131.99391806386703,-148.4597836534138,16.46586558954678
1,-155.78642476235387,-144.5303526946695,-11.256072067684386
2,-120.56599732486704,-146.95457721611194,26.388579891244902
3,-165.69505315901185,-152.44308650327187,-13.251966655739977
4,-163.36929420775624,-144.54887961028993,-18.82041459746631
5,-194.7677273357046,-144.54335633109196,-50.224371004612635
6,-196.2092245445774,-150.17298562783395,-46.03623891674346
7,-194.46735060535715,-151.13714976022516,-43.330200845132
8,-150.610108510219,-149.49095254347043,-1.1191559667485649
9,-85.31496450043014,-147.1433024960589,61.82833799562877
10,-168.15904431446373,-150.5620284915334,-17.59701582293033
11,-116.4681052076292,-150.34163973283825,33.87353452520905
12,-148.89405091033302,-144.53720219791745,-4.3568487124155695
13,-168.61959588110605,-151.7373580530071,-16.882237828098937
14,-187.4676479386133,-144.5379377002713,-42.92971023834201
15,-142.5533640128042,-152.52532343345973,9.971959420655537
16,-171.02284523051833,-144.55165165634887,-26.47119357416946
17,-102.05250896695142,-151.60159216669098,49.549083199739556
18,-190.39405782381027,-144.54147345019595,-45.85258437361432
19,-112.7038434462737,-144.54380169266082,31.839958246387127
20,-122.9519648562873,-145.55030164863408,22.59833679234677
21,-113.0891534552078,-141.51357203317252,28.424418577964715
22,-112.02330448907595,-144.53391733291602,32.510612843840065
23,-185.79207987406767,-144.6441489902471,-41.14793088382058
24,-169.37393862270463,-144.53613083550383,-24.837807787200802
25,-161.45719280472767,-146.84280809930203,-14.614384705425636
26,-117.04504762886376,-148.8368093099261,31.791761681062354
27,-167.4631516067179,-148.25773271566976,-19.20541889104814
28,-125.05628457803094,-147.55790999035494,22.501625412324003
29,-158.69508005166696,-144.53786013044729,-14.157219921219678
30,-111.1984639670496,-149.79951659446493,38.60105262741533
31,-153.7794979684948,-151.272604217177,-2.5068937513178184
32,-165.04111204098623,-144.53875417439895,-20.50235786658729
33,-135.15880825774596,-144.54673127843245,9.387923020686486
34,-152.3221951357714,-144.54432515333636,-7.77786998243505
35,-146.4354686394832,-144.41455027017753,-2.0209183693056616
36,-182.8393030328158,-144.53902955898695,-38.30027347382884
37,-152.16774420581308,-148.04463351909484,-4.123110686718235
38,-107.15324637880954,-146.3127223831048,39.15947600429527
39,-126.99738966244016,-144.73714217504804,17.73975251260788
40,-129.64005419676116,-144.5426675456363,14.90261334887515
41,-151.29908618778035,-144.54560989275345,-6.7534762950269
42,-159.5567655252367,-144.53647859369502,-15.020286931541676
43,-189.4276691583668,-141.99123059890118,-47.436438559465614
44,-120.11540106333824,-143.79584131061227,23.680440247274035
45,-150.74760181296847,-147.37118168507388,-3.3764201278945905
46,-105.18826461842116,-144.5417569483829,39.35349232996174
47,-109.55940121272111,-145.6803109937724,36.12090978105128
48,-146.51468697202205,-144.54665692598135,-1.9680300460406954
49,-187.2173270241185,-144.54466514647572,-42.67266187764278
50,-169.68100768852145,-144.53554813685716,-25.14545955166429
51,-122.77130696775296,-148.521901035204,25.750594067451033
52,-167.6447025934931,-144.5370609163891,-23.107641677104
53,-120.05333916057332,-153.41888403939,33.36554487881669
54,-116.87196580688308,-147.70757307256628,30.835607265683194
55,-165.49334385527868,-147.29229496036265,-18.201048894916028
56,-139.14995827420682,-144.54491691507232,5.394958640865497
57,-153.4606575497882,-144.54047628056006,-8.920181269228152
58,-169.3128346012692,-144.5431320022882,-24.769702598981013
59,-191.71614262873408,-144.52929752974148,-47.18684509899259
60,-106.96968808003966,-148.92467267774668,41.954984597707025
61,-151.88811100091348,-144.54527684575214,-7.342834155161341
62,-178.30713615528867,-144.53518396680334,-33.77195218848533
63,-109.4321754251306,-144.5262547611489,35.0940793360183
64,-129.93439080794488,-144.53434232332611,14.599951515381235
65,-110.37081579160906,-144.5376720938182,34.16685630220914
66,-130.56295765200375,-139.43330720740073,8.870349555396984
67,-115.99567047615848,-138.4860246519439,22.490354175785413
68,-129.17865123162971,-150.28966852088985,21.111017289260133
69,-151.25966965381969,-141.28479836219043,-9.974871291629256
70,-109.4333241547549,-145.2562588145788,35.822934659823915
71,-109.22022618299349,-144.532569109378,35.3123429263845
72,-145.7589661770853,-144.54416458187004,-1.2148015952152775
73,-160.9761547050408,-143.7758297261256,-17.200324978915205
74,-116.38768428239044,-144.53731591497112,28.14963163258068
75,-146.78637589270306,-144.53645720473253,-2.249918687970535
76,-88.24480435753351,-144.53138782018968,56.28658346265617
77,-137.6146388212002,-141.20609334171616,3.5914545205159527
78,-164.0994051259881,-144.82189255217457,-19.27751257381354
79,-121.50542871426882,-144.54300568931478,23.037576975045965
80,-139.0840774717665,-136.6067187709706,-2.477358700795918
81,-144.12069274208355,-144.53398916190818,0.4132964198246327
82,-189.30834435847163,-144.53412786209853,-44.7742164963731
83,-92.50679295089554,-144.55766170367428,52.05086875277874
84,-157.60921660952323,-138.6189358154649,-18.99028079405832
85,-122.8565796167686,-144.53141172622637,21.674832109457768
86,-134.15933343542042,-144.53860324083325,10.379269805412832
87,-157.8553954367517,-144.5371768489286,-13.318218587823111
88,-140.3053224129439,-141.30173176053955,0.9964093475956588
89,-157.71451486885883,-139.03598445534837,-18.678530413510458
90,-146.59920912098374,-141.41752940758215,-5.181679713401593
91,-108.73367606257658,-144.54413582215903,35.81045975958246
92,-158.66787372283673,-144.54489539456605,-14.122978328270676
93,-143.70806147345252,-135.1166742930881,-8.591387180364421
94,-167.5127961390968,-136.5300567921056,-30.982739346991195
95,-157.68008192491828,-145.7567569002862,-11.923325024632078
96,-147.14279457969718,-144.55830551330348,-2.584489066393701
97,-121.02130672080476,-138.65605576553799,17.634749044733226
98,-117.352556436452,-144.52869834556216,27.176141909110157
99,-113.04790501924006,-144.52971251324738,31.481807494007313
100,-142.20031241323028,-144.53278759080268,2.3324751775724053
101,-177.68231283367885,-139.96991930857618,-37.71239352510267
102,-111.66634540106084,-138.46127572705967,26.794930325998834
103,-127.64699385978184,-137.8721387672766,10.225144907494752
104,-147.31493400494807,-144.53546424365427,-2.7794697612937966
105,-144.6122650535858,-144.54519790267284,-0.06706715091294768
106,-88.59594495344875,-138.8176300583065,50.22168510485774
107,-134.5077995826587,-144.54756267302866,10.039763090369973
108,-122.67305124036452,-144.53829769508224,21.86524645471772
109,-118.49020178103235,-139.24365206589184,20.753450284859483
110,-150.21738382283854,-144.5508447903045,-5.666539032534047
111,-162.1156590851387,-136.66223102275285,-25.453428062385854
112,-115.22213487591826,-144.96579418959317,29.74365931367491
113,-157.65044568475665,-144.53468946399792,-13.115756220758726
114,-103.24795820063494,-144.53531221122284,41.287354010587904
115,-174.0118859819923,-144.52277858803717,-29.489107393955123
116,-156.54244295991109,-136.52081762694792,-20.02162533296317
117,-161.53553295156308,-144.54232186570994,-16.993211085853147
118,-140.19976370035397,-140.38189529437508,0.182131594021115
119,-153.5171592878008,-144.54176339719496,-8.975395890605853
120,-116.3391426678248,-144.5397680776239,28.200625409799102
121,-175.13980818107052,-140.01962810208155,-35.120180078988966
122,-120.20300042685156,-137.0767403907675,16.873739963915938
123,-129.26514459361383,-144.55082573197106,15.285681138357234
124,-127.35446434238986,-144.54283325692978,17.18836891453992
125,-129.3567848288078,-144.53582578336076,15.17904095455296
126,-149.728993065722,-144.54052232613176,-5.18847073959023
127,-151.70748156206255,-140.5597141963206,-11.147767365741942
128,-168.14997100637646,-144.54238470775843,-23.60758629861803
129,-149.2825494272578,-144.5495134610033,-4.733035966254505
130,-137.32406431785478,-144.55752029477028,7.233455976915508
131,-125.41732855582016,-144.56091549866497,19.143586942844806
132,-128.04626169197485,-144.56460736998892,16.51834567801407
133,-138.48982799503764,-144.56227406947673,6.072446074439085
134,-166.7663653468184,-144.55129387253294,-22.215071474285452
135,-138.10670906719787,-148.48272090361158,10.37601183641371
136,-167.6709452620698,-145.05199917973152,-22.618946082338283
137,-148.58932661768014,-144.5695713446756,-4.0197552730045345
138,-145.67744888674474,-146.44631178973714,0.7688629029923959
139,-156.54751613232253,-144.5588013950326,-11.98871473728994
140,-183.34532609901404,-144.55802620091865,-38.7872998980954
141,-126.33924634394542,-144.5572548350025,18.21800849105709
142,-146.76530089920567,-145.882307723182,-0.8829931760236605
143,-135.88871883835705,-143.94744283610058,8.058723997743527
144,-173.41552529381335,-145.4913860602257,-27.924139233587653
145,-185.5811133723789,-145.87893615862347,-39.70217721375542
146,-159.20845306035102,-144.56695533461175,-14.64149772573927
147,-117.49230502552936,-144.813594941415,27.321289915885643
148,-193.82238746951828,-146.93937549064117,-46.88301197887711
149,-143.53954506627872,-145.92612026767324,2.386575201394521
150,-193.79482950622332,-144.5772603809841,-49.21756912523924
151,-165.1336496049087,-145.1592254285658,-19.974424176342893
152,-114.89235172132167,-144.7738806488122,29.88152892749052
153,-152.9951265054088,-144.57263055349398,-8.422495951914811
154,-164.49705195182256,-147.55585544155073,-16.941196510271823
155,-150.93574617264773,-147.05482332595386,-3.8809228466938634
156,-106.99863406519724,-144.56978257588145,37.57114851068421
157,-154.66053362405532,-148.7518017791495,-5.908731844905816
158,-170.87519566214416,-150.99389663203618,-19.881299030107982
159,-148.15282019392234,-149.22781131696956,1.0749911230472264
160,-111.61329650427663,-144.17614717723583,32.5628506729592
161,-136.0094845050022,-144.56078015311522,8.551295648113012
162,-139.99479743314893,-146.48689416181563,6.492096728666695
163,-120.10154432157417,-145.9300787769914,25.828534455417227
164,-155.130407361975,-144.56791147670197,-10.562495885273023
165,-148.4705003077819,-145.06901120649042,-3.4014891012914745
166,-149.40543047618593,-144.57509059930885,-4.830339876877076
167,-107.95557858894972,-144.56544779602189,36.609869207072165
168,-121.0118569081054,-144.57216950697153,23.560312598866133
169,-149.13738186770115,-145.4601131839739,-3.677268683727249
170,-149.02811412346944,-144.56000071115855,-4.468113412310885
171,-136.11709749253757,-146.40005069276742,10.282953200229855
172,-169.994090056443,-144.5675168367246,-25.42657321971842
173,-125.80690809783869,-147.53659891890103,21.72969082106235
174,-148.66608286691022,-144.57204637639757,-4.09403649051265
175,-199.0766019959672,-149.55600853921038,-49.520593456756814
176,-149.55626317871233,-151.25264226727185,1.6963790885595245
177,-235.8064863466145,-144.5762263687764,-91.2302599778381
