,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0,-131.99391806386703,-145.14766038382447,13.153742319957445
1,-155.78642476235387,-143.29141984107756,-12.495004921276319
2,-120.56599732486704,-146.64758812132146,26.08159079645442
3,-165.69505315901185,-150.07253747387617,-15.622515685135681
4,-163.36929420775624,-145.02077208766332,-18.348522120092923
5,-194.7677273357046,-146.98528162313792,-47.78244571256667
6,-196.2092245445774,-146.22481336674144,-49.984411177835966
7,-194.46735060535715,-146.68575807137174,-47.78159253398542
8,-150.610108510219,-146.14376595518303,-4.466342555035965
9,-85.31496450043014,-146.18296306539338,60.867998564963244
10,-168.15904431446373,-146.21342283639748,-21.945621478066244
11,-116.4681052076292,-146.55736912556358,30.08926391793439
12,-148.89405091033302,-145.23871731600678,-3.655333594326237
13,-168.61959588110605,-145.0050479911145,-23.61454788999154
14,-187.4676479386133,-145.76783459810937,-41.69981334050394
15,-142.5533640128042,-148.22736114699975,5.6739971341955595
16,-171.02284523051833,-147.12387001887134,-23.898975211646984
17,-102.05250896695142,-148.25140488393419,46.198895916982764
18,-190.39405782381027,-147.8515269716052,-42.54253085220506
19,-112.7038434462737,-144.94083645853044,32.23699301225675
20,-122.9519648562873,-143.02908154745947,20.077116691172165
21,-113.0891534552078,-143.43575955701886,30.346606101811048
22,-112.02330448907595,-147.77342060656812,35.75011611749217
23,-185.79207987406767,-143.6217742712452,-42.17030560282248
24,-169.37393862270463,-143.00421458736125,-26.36972403534338
25,-161.45719280472767,-145.93498363494248,-15.522209169785185
26,-117.04504762886376,-146.4694011633197,29.424353534455946
27,-167.4631516067179,-144.96149347618723,-22.50165813053067
28,-125.05628457803094,-144.86045476039155,19.804170182360608
29,-158.69508005166696,-144.14924884448834,-14.545831207178622
30,-111.1984639670496,-147.72313746517884,36.52467349812923
31,-153.7794979684948,-146.71740700419,-7.062090964304815
32,-165.04111204098623,-145.19371266808236,-19.84739937290388
33,-135.15880825774596,-149.28006025507548,14.121251997329523
34,-152.3221951357714,-145.42683106019183,-6.895364075579579
35,-146.4354686394832,-143.82083965492896,-2.61462898455423
36,-182.8393030328158,-144.9534835824925,-37.88581945032328
37,-152.16774420581308,-145.4067830761518,-6.760961129661268
38,-107.15324637880954,-143.7822768433146,36.629030464505064
39,-126.99738966244016,-146.0773092405634,19.079919578123253
40,-129.64005419676116,-143.6067998764289,13.966745679667753
41,-151.29908618778035,-145.60804403804602,-5.691042149734329
42,-159.5567655252367,-144.3033442345326,-15.253421290704097
43,-189.4276691583668,-142.50868324442877,-46.91898591393803
